,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
0,,,,,,0.20762210001703352,0,0,0,0,0,0,0,0,,,,
1,,,,0.0,0.0,,0,1,0,0,0,1,0,0,100.0,,0.0,
2,"[('1', 0.47146260004956275)]",1,0.47146260004956275,1.0,7.0,,1,0,0,0,1,1,0,0,100.0,100.0,0.0,0.47146260004956275
3,,,,0.0,0.0,,0,1,0,0,1,2,0,0,100.0,100.0,0.0,0.47146260004956275
4,,,,0.0,0.0,,0,1,0,0,1,3,0,0,100.0,100.0,0.0,0.47146260004956275
5,"[('1', 0.42485980002675205)]",1,0.42485980002675205,1.0,7.0,,1,0,0,0,2,3,0,0,100.0,100.0,0.0,0.4481612000381574
6,,,,0.0,0.0,,0,1,0,0,2,4,0,0,100.0,100.0,0.0,0.4481612000381574
7,,,,0.0,0.0,,0,1,0,0,2,5,0,0,100.0,100.0,0.0,0.4481612000381574
8,"[('1', 0.4552331999875605)]",1,0.4552331999875605,1.0,7.0,,1,0,0,0,3,5,0,0,100.0,100.0,0.0,0.4505185333546251
9,,,,0.0,0.0,,0,1,0,0,3,6,0,0,100.0,100.0,0.0,0.4505185333546251
10,"[('1', 14.287743899971247)]",1,14.287743899971247,0.0,0.0,,0,0,1,0,3,6,1,0,90.0,100.0,10.0,3.9098248750087805
11,,,,,,46.36353269999381,0,0,0,0,3,6,1,0,90.0,100.0,10.0,3.9098248750087805
12,,,,0.0,0.0,,0,1,0,0,3,7,1,0,90.9090909090909,100.0,9.090909090909092,3.9098248750087805
13,,,,0.0,0.0,,0,1,0,0,3,8,1,0,91.66666666666667,100.0,8.333333333333334,3.9098248750087805
14,"[('1', 0.79029209993314)]",1,0.79029209993314,1.0,7.0,,1,0,0,0,4,8,1,0,92.3076923076923,100.0,7.6923076923076925,3.2859183199936526
15,,,,0.0,0.0,,0,1,0,0,4,9,1,0,92.85714285714286,100.0,7.142857142857143,3.2859183199936526
16,,,,0.0,0.0,,0,1,0,0,4,10,1,0,93.33333333333333,100.0,6.666666666666667,3.2859183199936526
17,,,,0.0,0.0,,0,1,0,0,4,11,1,0,93.75,100.0,6.25,3.2859183199936526
18,"[('1', 0.6049618000397459)]",1,0.6049618000397459,1.0,7.0,,1,0,0,0,5,11,1,0,94.11764705882354,100.0,5.882352941176471,2.839092233334668
19,,,,0.0,0.0,,0,1,0,0,5,12,1,0,94.44444444444444,100.0,5.555555555555555,2.839092233334668
20,,,,0.0,0.0,,0,1,0,0,5,13,1,0,94.73684210526316,100.0,5.2631578947368425,2.839092233334668
21,"[('1', 10.02883959992323)]",1,10.02883959992323,1.0,7.0,,1,0,0,0,6,13,1,0,95.0,100.0,5.0,3.866198999990177
22,,,,,,94.59274320001714,0,0,0,0,6,13,1,0,95.0,100.0,5.0,3.866198999990177
23,,,,0.0,0.0,,0,1,0,0,6,14,1,0,95.23809523809524,100.0,4.761904761904762,3.866198999990177
24,,,,0.0,0.0,,0,1,0,0,6,15,1,0,95.45454545454545,100.0,4.545454545454546,3.866198999990177
25,,,,0.0,0.0,,0,1,0,0,6,16,1,0,95.65217391304348,100.0,4.3478260869565215,3.866198999990177
26,"[('1', 0.6743261999217793)]",1,0.6743261999217793,1.0,7.0,,1,0,0,0,7,16,1,0,95.83333333333333,100.0,4.166666666666667,3.4672148999816272
27,,,,0.0,0.0,,0,1,0,0,7,17,1,0,96.0,100.0,4.0,3.4672148999816272
28,,,,0.0,0.0,,0,1,0,0,7,18,1,0,96.15384615384616,100.0,3.8461538461538463,3.4672148999816272
29,,,,0.0,0.0,,0,1,0,0,7,19,1,0,96.29629629629629,100.0,3.7037037037037037,3.4672148999816272
30,"[('1', 0.6523112000431865)]",1,0.6523112000431865,1.0,7.0,,1,0,0,0,8,19,1,0,96.42857142857143,100.0,3.5714285714285716,3.1544478222106895
