,subj_key_resp,subj_key_resp_last,rxn_time,corr_resp,corr_resp_left,running_time,hit,miss,wrong,total_hits,total_wrong,total_skipped,percent_accuracy,avg_rxn_time
0,"[('1', 1.0028158000204712)]",1,1.0028158000204712,1,6,16.012798200012185,1,0,0,1,0,0,100.0,1.0028158000204712
1,"[('2', 1.2837067000800744)]",2,1.2837067000800744,2,7,,1,0,0,2,0,0,100.0,1.1432612500502728
2,"[('2', 1.1110311000375077)]",2,1.1110311000375077,2,7,,1,0,0,3,0,0,100.0,1.1325178667126845
3,"[('1', 0.9282864999258891)]",1,0.9282864999258891,1,6,,1,0,0,4,0,0,100.0,1.0814600250159856
4,"[('2', 1.181847900035791)]",2,1.181847900035791,2,7,,1,0,0,5,0,0,100.0,1.1015376000199466
5,"[('1', 0.8614636999554932)]",1,0.8614636999554932,1,6,,1,0,0,6,0,0,100.0,1.0615252833425377
6,"[('2', 1.2956044999882579)]",2,1.2956044999882579,2,7,34.06463659997098,1,0,0,7,0,0,100.0,1.0949651714347834
7,"[('1', 1.1432521999813616)]",1,1.1432521999813616,1,6,,1,0,0,8,0,0,100.0,1.1010010500031058
8,"[('1', 0.9293726999312639)]",1,0.9293726999312639,1,6,,1,0,0,9,0,0,100.0,1.0819312333284568
9,"[('2', 1.0779394999844953)]",2,1.0779394999844953,2,7,,1,0,0,10,0,0,100.0,1.0815320599940605
10,"[('1', 0.7810735000530258)]",1,0.7810735000530258,1,6,,1,0,0,11,0,0,100.0,1.0542176454539665
11,"[('2', 1.4270330999279395)]",2,1.4270330999279395,2,7,,1,0,0,12,0,0,100.0,1.0852855999934643
12,"[('2', 1.1947283000918105)]",2,1.1947283000918105,2,7,52.09638419991825,1,0,0,13,0,0,100.0,1.0937042692317986
13,"[('2', 1.1937485000817105)]",2,1.1937485000817105,2,7,,1,0,0,14,0,0,100.0,1.100850285721078
14,"[('1', 1.4137850999832153)]",1,1.4137850999832153,1,6,,1,0,0,15,0,0,100.0,1.1217126066718872
15,"[('2', 1.1940332000376657)]",2,1.1940332000376657,2,7,,1,0,0,16,0,0,100.0,1.1262326437572483
16,"[('1', 0.746821100008674)]",1,0.746821100008674,1,6,,1,0,0,17,0,0,100.0,1.103914317654391
17,"[('1', 1.0773624000139534)]",1,1.0773624000139534,1,6,,1,0,0,18,0,0,100.0,1.102439211118811
18,"[('1', 0.9617179000051692)]",1,0.9617179000051692,1,6,70.12684789998457,1,0,0,19,0,0,100.0,1.0950328263233562
19,"[('2', 0.9350694000022486)]",2,0.9350694000022486,2,7,,1,0,0,20,0,0,100.0,1.087034655007301
20,"[('2', 1.1109324999852106)]",2,1.1109324999852106,2,7,,1,0,0,21,0,0,100.0,1.0881726476252966
21,"[('1', 0.7453975999960676)]",1,0.7453975999960676,1,6,,1,0,0,22,0,0,100.0,1.07259196364215
22,"[('2', 0.7272823000093922)]",2,0.7272823000093922,2,7,,1,0,0,23,0,0,100.0,1.057578500005943
23,"[('1', 1.011965199955739)]",1,1.011965199955739,1,6,,1,0,0,24,0,0,100.0,1.0556779458371846
24,"[('1', 0.9629109000088647)]",1,0.9629109000088647,1,6,88.19063949992415,1,0,0,25,0,0,100.0,1.0519672640040516
25,"[('2', 0.7318665999919176)]",2,0.7318665999919176,2,7,,1,0,0,26,0,0,100.0,1.039655700003585
26,"[('2', 1.1117980999406427)]",2,1.1117980999406427,2,7,,1,0,0,27,0,0,100.0,1.0423276407419946
27,"[('1', 0.9616268000099808)]",1,0.9616268000099808,1,6,,1,0,0,28,0,0,100.0,1.0394454678587084
28,"[('2', 0.978260500007309)]",2,0.978260500007309,2,7,,1,0,0,29,0,0,100.0,1.037335641381074
29,"[('1', 1.0949213999556378)]",1,1.0949213999556378,1,6,,1,0,0,30,0,0,100.0,1.0392551666668928
30,"[('2', 1.2814754999708384)]",2,1.2814754999708384,2,7,124.23581599991303,1,0,0,31,0,0,100.0,1.0470687258057296
31,"[('2', 0.9620432000374421)]",2,0.9620432000374421,2,7,,1,0,0,32,0,0,100.0,1.0444116781254706
32,"[('1', 0.9950255000730976)]",1,0.9950255000730976,1,6,,1,0,0,33,0,0,100.0,1.0429151272753987
33,"[('2', 0.8932891999138519)]",2,0.8932891999138519,2,7,,1,0,0,34,0,0,100.0,1.0385143647059414
34,"[('1', 0.961674900026992)]",1,0.961674900026992,1,6,,1,0,0,35,0,0,100.0,1.0363189514294
35,"[('1', 0.7654680999694392)]",1,0.7654680999694392,1,6,,1,0,0,36,0,0,100.0,1.0287953166666233
